isin,as_of,mix
INE028A08372,30/06/2026,"Govt 51%, Insurance 32%, PF/Pension 12%, Banks 3%, MF 1%, Corporates 1%"
INE02JD08015,30/06/2026,"Corporates 64%, Trusts 19%, Insurance 13%, Individuals 3.8%"
INE02KN07022,30/06/2026,"Banks 50%, Corporates 20%, MF 18%, Trusts 12%"
INE02KN08012,30/06/2026,"Corporates 46%, Insurance 27%, Trusts 20%, Clearing members 6.7%, Individuals 0.5%"
INE02PE08036,30/06/2026,"MF 85%, Corporates 14%, Insurance 1.1%, PF/Pension 0.4%"
INE02VP07065,30/06/2026,"Corporates 33%, Individuals 29%, Trusts 19%, NRIs 19%"
INE02VP08022,30/06/2026,"Corporates 48%, AIF 33%, Individuals 19%"
INE031A07915,30/06/2026,"Individuals 68%, Corporates 22%, Banks 4%, Insurance 2.7%, NBFC 1.1%, Govt 0.8%, others 1.3%"
INE031A08616,30/06/2026,"Govt 72%, PF/Pension 9.3%, Trusts 8.2%, Insurance 7.9%, MF 2.5%, Corporates 0.3%"
INE031A08624,30/06/2026,"PF/Pension 39%, Govt 33%, Trusts 19%, Insurance 3.1%, MF 3%, FPI 2.4%, others 0.5%"
INE031A08681,30/06/2026,"Trusts 37%, PF/Pension 26%, Govt 14%, Insurance 11%, Corporates 9.4%, MF 1.2%, others 0.2%"
INE031A08699,30/06/2026,"PF/Pension 31%, Trusts 16%, Govt 15%, Insurance 12%, Banks 10%, Corporates 10%, others 6.3%"
INE031A08707,30/06/2026,"PF/Pension 21%, Insurance 21%, Banks 18%, Trusts 18%, Govt 10%, Corporates 10%, others 1.9%"
INE031A08889,30/06/2026,"Banks 43%, Insurance 17%, MF 17%, PF/Pension 15%, Corporates 6.7%, Trusts 1.3%"
INE031A08897,30/06/2026,"Govt 67%, Insurance 22%, Banks 5.2%, MF 2.6%, PF/Pension 1.6%, Trusts 1.3%"
INE031A08921,30/06/2026,"Banks 30%, Govt 28%, Insurance 26%, MF 12%, Corporates 2.4%"
INE031A08939,30/06/2026,"MF 27%, Insurance 27%, Govt 21%, Banks 12%, PF/Pension 10%, Other FIs 1.7%, others 0.3%"
INE031A08947,30/06/2026,"Insurance 65%, MF 12%, Govt 12%, Trusts 6.6%, Corporates 2.7%, FPI 1.8%, others 1.2%"
INE031A08954,30/06/2026,"Govt 39%, Trusts 29%, PF/Pension 10%, MF 7.5%, Insurance 7.5%, Banks 6.2%"
INE031A08962,30/06/2026,"MF 35%, Banks 29%, PF/Pension 18%, Insurance 14%, Govt 4.1%"
INE031A08996,30/06/2026,"MF 78%, Banks 13%, Insurance 9.2%"
INE031A08AB0,30/06/2026,"Trusts 52%, Banks 18%, Corporates 11%, Insurance 11%, Clearing members 3%, Individuals 2.7%, others 2%"
INE031A08AC8,30/06/2026,"Banks 77%, Insurance 12%, MF 11%"
INE033L07HO3,30/06/2026,"Trusts 54%, Insurance 28%, PF/Pension 6.3%, Corporates 3.7%, Govt 3.5%, Individuals 2.2%, others 2.1%"
INE033L07HQ8,30/06/2026,"Insurance 23%, MF 22%, PF/Pension 18%, Banks 13%, Trusts 12%, Corporates 11%, others 0.6%"
INE033L07HU0,30/06/2026,"MF 65%, Insurance 15%, Corporates 7.7%, PF/Pension 4.7%, Banks 4.4%, Trusts 2.2%"
INE033L07HY2,30/06/2026,"MF 43%, PF/Pension 20%, Corporates 18%, Insurance 13%, Trusts 6%, Individuals 0.3%, others 0.1%"
INE033L07IB8,30/06/2026,"Banks 30%, Insurance 29%, MF 23%, PF/Pension 13%, Trusts 3.1%, Corporates 1.5%, others 0.1%"
INE033L07IC6,30/06/2026,"MF 44%, Insurance 30%, Corporates 25%, Individuals 1.2%"
INE033L07ID4,30/06/2026,"MF 66%, Insurance 13%, Corporates 12%, PF/Pension 6.4%, Trusts 3.2%"
INE033L07IE2,30/06/2026,"MF 77%, Insurance 14%, Banks 5.5%, Corporates 2.8%, Individuals 0.1%"
