isin,as_of,mix
INE134E08KV1,30/06/2026,"Trusts 40%, Insurance 19%, Corporates 16%, MF 13%, Govt 8.6%, PF/Pension 2.5%, others 0.6%"
INE134E08LA3,30/06/2026,"Trusts 46%, Govt 22%, Corporates 14%, Insurance 8.6%, Banks 6%, MF 1.6%, others 1.6%"
INE134E08LH8,30/06/2026,"MF 43%, Insurance 26%, PF/Pension 21%, Banks 8.8%, Trusts 1.5%"
INE134E08LI6,30/06/2026,"Govt 82%, Trusts 8%, PF/Pension 5.3%, Insurance 1.8%, Corporates 1%, Banks 0.7%, others 0.9%"
INE134E08LK2,30/06/2026,"MF 43%, Corporates 32%, Banks 16%, Insurance 5.9%, Trusts 3.1%"
INE134E08LM8,30/06/2026,"Trusts 40%, Insurance 20%, PF/Pension 13%, Corporates 12%, Banks 8.4%, MF 5.3%, others 1%"
INE134E08LN6,30/06/2026,"MF 62%, Insurance 14%, Govt 11%, Trusts 5%, PF/Pension 3.8%, Corporates 2.6%, others 2.2%"
INE134E08LS5,30/06/2026,"PF/Pension 44%, MF 33%, Insurance 11%, Trusts 7.5%, Corporates 3.8%"
INE134E08LT3,30/06/2026,"PF/Pension 52%, MF 45%, Trusts 3.6%"
INE134E08LX5,30/06/2026,"MF 52%, Insurance 17%, Banks 17%, PF/Pension 6.3%, Corporates 3%, Trusts 2.8%, others 1.3%"
INE134E08MA1,30/06/2026,"Insurance 42%, MF 33%, PF/Pension 21%, Trusts 3.8%, Banks 0.1%, Corporates 0.1%"
INE134E08MD5,30/06/2026,"Insurance 39%, MF 24%, Govt 18%, Trusts 7.8%, PF/Pension 6.7%, Corporates 4%"
INE134E08ME3,30/06/2026,"MF 45%, Insurance 23%, Govt 19%, PF/Pension 6.9%, Trusts 6.2%"
INE134E08MF0,30/06/2026,"MF 50%, Govt 19%, Insurance 14%, Trusts 10%, PF/Pension 6.9%, Corporates 0.8%"
INE134E08MG8,30/06/2026,"MF 55%, Govt 18%, Insurance 16%, PF/Pension 6.7%, Trusts 3.3%"
INE134E08MI4,30/06/2026,"Insurance 54%, MF 29%, Corporates 8.9%, Trusts 3.7%, PF/Pension 3.4%, Govt 0.9%"
INE134E08MJ2,30/06/2026,"Insurance 44%, MF 39%, Corporates 5.8%, Banks 5.4%, FPI 5.4%, Govt 0.4%"
INE134E08MK0,30/06/2026,"MF 85%, Insurance 8.3%, Corporates 4.2%, Banks 2.1%"
INE134E08MQ7,30/06/2026,"Insurance 80%, Corporates 6.3%, PF/Pension 4.9%, Trusts 4.1%, MF 3.1%, Govt 1%, others 0.2%"
INE134E08MR5,30/06/2026,"Insurance 43%, Trusts 18%, Corporates 15%, Govt 10%, PF/Pension 7.4%, MF 7.1%, others 0.7%"
INE134E08MS3,30/06/2026,"MF 60%, Corporates 39%, AIF 1%, Individuals 0.5%"
INE134E08MT1,30/06/2026,"MF 53%, Corporates 23%, Banks 21%, Insurance 3.2%"
INE134E08MU9,30/06/2026,"Insurance 72%, Govt 19%, PF/Pension 2.9%, Corporates 2.9%, Trusts 1.9%, MF 1%"
INE134E08MX3,30/06/2026,"MF 57%, Banks 15%, Insurance 15%, PF/Pension 6.7%, Corporates 4.2%, FPI 1.5%, others 0.8%"
INE134E08MZ8,30/06/2026,"Govt 50%, Banks 21%, Insurance 19%, MF 7.4%, Trusts 2%, PF/Pension 0.2%"
INE134E08ND3,30/06/2026,"Insurance 29%, PF/Pension 27%, MF 22%, Banks 13%, Trusts 8.1%, Corporates 1%, others 0.7%"
INE134E08NH4,30/06/2026,"Insurance 61%, PF/Pension 25%, MF 7.7%, Banks 5.7%, Trusts 0.4%"
INE134E08NJ0,30/06/2026,"Insurance 67%, Corporates 11%, MF 7.4%, PF/Pension 6.2%, Trusts 5.9%, FPI 2%, others 1%"
INE134E08NL6,30/06/2026,"MF 52%, Insurance 34%, Corporates 6.2%, Banks 3.2%, FPI 2.6%, Govt 1.2%, others 1.1%"
INE134E08NM4,30/06/2026,"Insurance 46%, MF 23%, PF/Pension 22%, Govt 4.5%, Banks 2.7%, Corporates 0.9%, others 0.2%"
INE134E08NN2,30/06/2026,"Insurance 54%, MF 18%, Trusts 10%, PF/Pension 8.1%, Corporates 7.8%, Banks 1.6%"
INE134E08NO0,30/06/2026,"Insurance 42%, MF 41%, PF/Pension 12%, Banks 1.5%, Govt 1.5%, Corporates 1.5%"
INE134E08NP7,30/06/2026,"MF 57%, Insurance 20%, Banks 8.1%, Corporates 8.1%, Govt 3.8%, PF/Pension 2.5%, others 0.1%"
INE134E08NR3,30/06/2026,"Banks 33%, Insurance 25%, MF 17%, PF/Pension 17%, Corporates 7%, FPI 0.4%"
INE134E08NS1,30/06/2026,"MF 39%, Banks 31%, Insurance 24%, Corporates 4.1%, FPI 2%"
INE134E08NT9,30/06/2026,"Banks 38%, MF 34%, Insurance 22%, Corporates 6.1%"
INE134E08NU7,30/06/2026,"Insurance 30%, PF/Pension 25%, MF 23%, Banks 12%, Govt 8.9%, Corporates 1.7%"
INE134E08NV5,30/06/2026,"Trusts 55%, Insurance 22%, Corporates 14%, NBFC 5.6%, Govt 3.1%"
INE134E08NW3,30/06/2026,"Banks 42%, Insurance 25%, MF 24%, Corporates 7.5%, Govt 1.4%"
INE134E08NZ6,30/06/2026,"Govt 53%, Insurance 29%, MF 8.8%, PF/Pension 3.8%, Banks 2.5%, Corporates 2.5%, others 0.3%"
INE134E08OA7,30/06/2026,"MF 69%, Banks 14%, Insurance 14%, NBFC 2.5%, FPI 1.2%"
INE134E08OB5,30/06/2026,"Govt 82%, Trusts 9.3%, Insurance 5.7%, Banks 2%, PF/Pension 1.1%, Corporates 0.2%"
INE134E08OC3,30/06/2026,"MF 72%, Insurance 14%, Banks 10%, Corporates 4.2%"
INE140A07831,30/06/2026,"Corporates 48%, MF 40%, Individuals 11%, Trusts 0.1%"
INE140R08072,30/06/2026,"Corporates 86%, Trusts 7.9%, Individuals 6%"
INE140R08080,30/06/2026,"Individuals 55%, Corporates 44%, NRIs 1.2%"
INE146O07508,30/06/2026,"MF 59%, Corporates 41%"
INE146O07557,30/06/2026,"MF 97%, Corporates 3.3%"
INE146O07565,30/06/2026,"Banks 85%, Corporates 15%"
INE146O08266,30/06/2026,"Corporates 43%, Individuals 35%, Trusts 12%, Banks 10%, NRIs 0.3%, Clearing members 0.1%"
INE146O08308,30/06/2026,"Trusts 75%, Corporates 20%, Individuals 5.1%"
INE146O08340,30/06/2026,"Trusts 83%, Individuals 10%, Corporates 6.9%"
INE146O08399,30/06/2026,"MF 61%, Corporates 24%, Trusts 9.4%, Individuals 5.6%, NRIs 0.1%"
INE146O08415,30/06/2026,"Corporates 42%, Trusts 29%, Clearing members 24%, Individuals 4.9%"
INE148I07HX6,30/06/2026,Insurance 100%
INE148I07IQ8,30/06/2026,Insurance 100%
INE148I07PK6,30/06/2026,"Corporates 71%, Banks 20%, AIF 8.6%, Individuals 0.2%"
INE148I07SY1,30/06/2026,"Corporates 88%, Banks 10%, FPI 1.3%, Individuals 1.2%"
INE148I07TY9,30/06/2026,"Corporates 86%, Individuals 11%, Trusts 1.7%, Clearing members 1.4%, NRIs 0.1%"
INE148I07UE9,30/06/2026,"Individuals 54%, Corporates 46%, AIF 0.6%"
INE148I07UK6,30/06/2026,"Corporates 56%, Individuals 26%, NBFC 8.9%, Trusts 8.9%"
INE148I07XA1,30/06/2026,"Individuals 63%, Corporates 22%, Clearing members 14%, Trusts 1.2%, NRIs 0.2%"
INE148I07XM6,30/06/2026,"Corporates 57%, Trusts 43%"
INE148I07YC5,30/06/2026,"Corporates 77%, Individuals 20%, Trusts 2.6%, Clearing members 0.8%, NBFC 0.1%"
INE148I07YF8,30/06/2026,"Corporates 35%, Insurance 25%, Clearing members 18%, Trusts 18%, NBFC 2.2%, Individuals 2%"
INE148I07YK8,30/06/2026,"Trusts 52%, Clearing members 29%, Corporates 19%, Individuals 0.4%"
INE148I08298,30/06/2026,"Banks 68%, Trusts 18%, Individuals 7%, Corporates 5.5%, PF/Pension 1.7%, NRIs 0.1%"
INE14H407116,30/06/2026,"Individuals 55%, Corporates 45%, Trusts 0.3%, NRIs 0.1%"
INE14H407124,30/06/2026,"Corporates 67%, Individuals 33%, NRIs 0.1%"
INE14H407132,30/06/2026,"Corporates 73%, Individuals 26%, NRIs 0.8%"
INE151A08349,30/06/2026,"MF 99%, Corporates 1.4%"
INE151A08356,30/06/2026,"MF 62%, Banks 28%, Insurance 10%"
INE152D08010,30/06/2026,"Corporates 62%, Govt 28%, Insurance 4.8%, Trusts 2.8%, Banks 1.2%, MF 0.8%"
INE153A08089,30/06/2026,"Trusts 34%, Corporates 16%, Govt 15%, Banks 14%, MF 11%, PF/Pension 8.6%, others 1.3%"
INE153A08097,30/06/2026,"Trusts 45%, Govt 21%, PF/Pension 17%, Insurance 6.6%, Banks 4.1%, Clearing members 2.7%, others 2.8%"
INE153A08105,30/06/2026,"Trusts 46%, Banks 26%, PF/Pension 12%, Govt 5.6%, Corporates 3.9%, MF 3.2%, others 2.9%"
INE153A08113,30/06/2026,"Govt 40%, Trusts 27%, PF/Pension 19%, MF 10%, FPI 1.5%, Banks 0.9%, others 0.5%"
INE153A08170,30/06/2026,"Trusts 50%, MF 26%, Banks 8.6%, PF/Pension 4.2%, Corporates 4.1%, Insurance 3.2%, others 3.1%"
INE154Z07011,30/06/2026,"MF 57%, Corporates 43%"
INE157D07EJ4,30/06/2026,"Individuals 48%, Corporates 41%, AIF 10%, NBFC 0.5%, Clearing members 0.1%"
INE157D07EM8,30/06/2026,"Corporates 46%, Individuals 45%, AIF 6.9%, NBFC 1.9%"
INE157D07EN6,30/06/2026,"Individuals 44%, Corporates 37%, AIF 18%, NBFC 0.6%, Clearing members 0.1%"
INE157D07EP1,30/06/2026,"Corporates 54%, Trusts 35%, Individuals 11%"
INE15PI07023,30/06/2026,"AIF 62%, Corporates 26%, Individuals 12%"
INE160A08191,30/06/2026,"Trusts 61%, Insurance 19%, Banks 10%, MF 5.5%, Govt 4.6%, Corporates 0.1%"
INE160A08225,30/06/2026,"Corporates 35%, Banks 26%, Trusts 19%, Other FIs 12%, Govt 2.9%, PF/Pension 1.7%, others 3%"
INE160A08282,30/06/2026,"Banks 46%, Trusts 19%, Corporates 11%, Insurance 10%, Govt 5.4%, PF/Pension 5.3%, others 2.6%"
INE160A08290,30/06/2026,"Corporates 51%, Insurance 19%, Banks 13%, Trusts 11%, Govt 3.5%, PF/Pension 1.4%, others 0.2%"
INE160A08324,30/06/2026,"Insurance 51%, MF 23%, PF/Pension 17%, Banks 8.5%, Trusts 0.3%"
INE163K07139,30/06/2026,MF 100%
INE163K07147,30/06/2026,MF 100%
INE163K07154,30/06/2026,MF 100%
INE163K07162,30/06/2026,MF 100%
INE163N08289,30/06/2026,"Banks 49%, MF 47%, Corporates 2.8%, Trusts 1.1%"
INE163N08313,30/06/2026,"MF 94%, Trusts 6.2%"
INE163N08321,30/06/2026,"MF 86%, Banks 8.3%, Insurance 6.1%"
INE165U08016,30/06/2026,"Govt 42%, Trusts 37%, Corporates 8.7%, Insurance 5.5%, PF/Pension 5.5%, Banks 0.9%, others 0.2%"
INE171A08032,30/06/2026,"Insurance 86%, MF 6.3%, Banks 3.7%, Trusts 2.7%, Corporates 1.5%"
INE179P07613,30/06/2026,"Individuals 81%, NBFC 10%, Corporates 8.6%, Clearing members 0.1%"
INE179P07621,30/06/2026,"Corporates 59%, Individuals 41%"
INE180C07171,30/06/2026,"Banks 54%, Individuals 24%, Corporates 20%, NRIs 2.3%"
INE180C07221,30/06/2026,"Banks 57%, Individuals 36%, Corporates 7.2%, Clearing members 0.2%"
INE180C07254,30/06/2026,"Corporates 65%, AIF 25%, Insurance 10%"
INE180C07288,30/06/2026,"Banks 58%, Corporates 17%, Individuals 15%, MF 10%"
INE180C07304,30/06/2026,"Individuals 47%, Corporates 34%, Insurance 18%, Clearing members 2.2%"
INE180C07312,30/06/2026,"Corporates 64%, Trusts 17%, FPI 11%, Individuals 8.4%"
INE186K07098,30/06/2026,MF 100%
INE186K07122,30/06/2026,"MF 50%, PF/Pension 41%, FPI 9.1%"
INE18UV07012,30/06/2026,"MF 43%, Banks 20%, Corporates 18%, Insurance 15%, AIF 4%"
INE18UV07020,30/06/2026,"MF 61%, Banks 31%, Insurance 8%"
INE192U07350,30/06/2026,MF 100%
INE192U07368,30/06/2026,"MF 75%, Insurance 12%, Individuals 6.3%, Corporates 6.2%"
INE192U07376,30/06/2026,MF 100%
INE192U07384,30/06/2026,MF 100%
INE192U07392,30/06/2026,MF 100%
INE1BC007010,30/06/2026,"Individuals 61%, Corporates 33%, NBFC 4.7%, Clearing members 0.6%, NRIs 0.6%"
INE1BEC07011,30/06/2026,"MF 94%, Corporates 5.7%, Individuals 0.5%"
INE1C3207016,30/06/2026,"Trusts 47%, Govt 41%, Banks 4.4%, Individuals 3.9%, Corporates 3.8%"
INE1C3207040,30/06/2026,"Trusts 40%, Govt 24%, Corporates 16%, Banks 12%, Individuals 7.8%"
INE1C3207057,30/06/2026,"MF 29%, Banks 25%, Trusts 20%, Corporates 15%, Individuals 6.3%, Govt 3.3%, others 1.2%"
INE1C3207065,30/06/2026,"Trusts 57%, Banks 17%, Individuals 9.1%, Corporates 8.6%, Govt 7.2%, NRIs 0.1%, others 0.1%"
INE1C3207081,30/06/2026,"Trusts 38%, Corporates 24%, Banks 18%, Individuals 7.6%, Govt 7.1%, FPI 4.4%, others 1%"
INE1CRA07015,30/06/2026,"NBFC 40%, Individuals 31%, Corporates 29%"
INE1D4O08012,30/06/2026,"MF 97%, FPI 2.8%"
INE1D4P08019,30/06/2026,"MF 81%, Corporates 10%, FPI 8.7%"
INE1FPT07012,30/06/2026,"FPI 80%, Corporates 20%"
INE1FPT07020,30/06/2026,"FPI 80%, Corporates 20%"
INE1FPT07038,30/06/2026,"FPI 80%, Corporates 20%"
INE1JAR07010,30/06/2026,MF 100%
INE1JAR07028,30/06/2026,"MF 72%, PF/Pension 28%"
INE1JAR07036,30/06/2026,MF 100%
INE1JJ007163,30/06/2026,"Corporates 88%, Individuals 12%, Clearing members 0.4%"
INE1JJ007189,30/06/2026,Corporates 100%
INE1JJ007205,30/06/2026,"Corporates 87%, Individuals 13%, NRIs 0.4%"
INE1JJ007213,30/06/2026,"Corporates 95%, Individuals 5.4%"
INE1JJ007221,30/06/2026,Corporates 100%
INE1JJ007239,30/06/2026,NBFC 100%
INE1JJ007247,30/06/2026,"Individuals 60%, Corporates 40%"
INE1QWF07063,30/06/2026,"Individuals 85%, Corporates 15%"
INE1QWF07089,30/06/2026,Corporates 100%
INE1TAE08049,30/06/2026,MF 100%
INE1TAE08056,30/06/2026,MF 100%
INE1VM207010,30/06/2026,Corporates 100%
INE1VXE07015,30/06/2026,"Individuals 81%, Corporates 19%"
INE1VXE07023,30/06/2026,"Corporates 82%, Individuals 12%, AIF 5.5%"
INE1Z4L07014,30/06/2026,"AIF 44%, Corporates 41%, Individuals 15%"
INE201P08209,30/06/2026,MF 100%
INE202B07JP8,30/06/2026,"Corporates 80%, MF 20%"
INE202B07JR4,30/06/2026,"MF 81%, Corporates 19%"
INE202B07JS2,30/06/2026,"MF 67%, Corporates 33%"
INE202B07JT0,30/06/2026,"MF 58%, Corporates 32%, Insurance 3.6%, Individuals 3.5%, Trusts 2.9%"
INE202B07JV6,30/06/2026,"Corporates 81%, Insurance 15%, Individuals 4.5%"
INE202B07JW4,30/06/2026,"Corporates 48%, MF 39%, NBFC 4.5%, Insurance 3.4%, Individuals 2.6%, FPI 2%, others 0.2%"
INE202E07195,30/06/2026,"Individuals 41%, Banks 36%, Corporates 18%, NBFC 2.9%, AIF 0.9%, Trusts 0.2%, others 0.3%"
INE202E07252,30/06/2026,"Trusts 49%, Govt 35%, Banks 10%, FPI 6%"
INE202E08185,30/06/2026,"Banks 45%, Govt 22%, PF/Pension 18%, Trusts 6%, Insurance 4.5%, FPI 4.5%"
INE202E08193,30/06/2026,"Insurance 75%, MF 19%, Trusts 3.8%, PF/Pension 2.3%"
INE202E08235,30/06/2026,"Govt 53%, Banks 18%, Insurance 16%, PF/Pension 9%, Trusts 2%, FPI 1.7%"
INE202E08284,30/06/2026,"Trusts 75%, Corporates 12%, Insurance 10%, Individuals 1.8%, Govt 1.4%"
INE202E08292,30/06/2026,"Insurance 52%, Trusts 37%, Banks 7%, Corporates 2.6%, Govt 1.1%, Individuals 0.2%"
INE205A08020,30/06/2026,"MF 79%, FPI 12%, Insurance 9.3%"
INE205A08038,30/06/2026,"MF 91%, Insurance 7.3%, FPI 1.2%, Trusts 0.5%"
INE205A08046,30/06/2026,"MF 91%, Insurance 7.3%, NBFC 1.2%, Corporates 0.4%"
INE205A08053,30/06/2026,"Corporates 41%, MF 31%, Insurance 13%, NBFC 6.9%, FPI 5.7%, Banks 2.9%, others 0.3%"
INE205A08095,30/06/2026,"MF 48%, Corporates 26%, NBFC 10%, FPI 10%, PF/Pension 4.9%, Insurance 1.9%"
INE206D08196,30/06/2026,"Trusts 29%, PF/Pension 23%, Govt 20%, Insurance 17%, MF 11%"
INE206D08204,30/06/2026,"Insurance 36%, PF/Pension 25%, Govt 21%, Trusts 15%, MF 2.5%, Banks 0.4%"
INE206D08220,30/06/2026,"PF/Pension 37%, Insurance 17%, Govt 16%, Trusts 15%, MF 14%, Banks 0.5%"
INE206D08279,30/06/2026,"PF/Pension 48%, MF 27%, Insurance 16%, Trusts 5.8%, Corporates 1.6%, Banks 1.2%"
INE206D08360,30/06/2026,"PF/Pension 30%, Govt 28%, Trusts 18%, Insurance 14%, MF 8.8%, Banks 1.2%"
INE206D08410,30/06/2026,"PF/Pension 36%, Banks 20%, Insurance 18%, Trusts 15%, Govt 6%, MF 5%"
INE206D08428,30/06/2026,"Banks 32%, PF/Pension 27%, Insurance 18%, Trusts 12%, Govt 6%, MF 5%"
INE206D08501,30/06/2026,"MF 51%, Govt 20%, Insurance 12%, PF/Pension 10%, Banks 5.8%, Trusts 0.1%"
INE213W07277,30/06/2026,MF 100%
INE213W07285,30/06/2026,MF 100%
INE213W07293,30/06/2026,"MF 91%, Banks 8.7%"
INE213W07319,30/06/2026,MF 100%
INE213W07327,30/06/2026,"MF 50%, Banks 50%"
INE213W07335,30/06/2026,MF 100%
INE216P07217,30/06/2026,MF 100%
INE216P07258,30/06/2026,MF 100%
INE216P07266,30/06/2026,MF 100%
INE216P07274,30/06/2026,MF 100%
INE216P07282,30/06/2026,MF 100%
INE219X07306,30/06/2026,"MF 88%, Banks 8.2%, Insurance 4.1%"
INE219X07363,30/06/2026,"Insurance 85%, MF 10%, PF/Pension 5%"
INE219X07439,30/06/2026,"MF 59%, Insurance 40%, PF/Pension 1%"
INE219X07447,30/06/2026,"Banks 50%, MF 40%, Insurance 10%"
INE219X07454,30/06/2026,"MF 56%, Banks 38%, Insurance 5.4%"
INE219X07462,30/06/2026,MF 100%
INE219X07512,30/06/2026,"Banks 60%, MF 40%"
INE219X07520,30/06/2026,"PF/Pension 33%, Insurance 30%, Banks 20%, MF 15%, Govt 2.1%"
INE219X07538,30/06/2026,"MF 50%, Banks 50%"
INE220B08126,30/06/2026,MF 100%
INE220B08134,30/06/2026,MF 100%
INE220B08142,30/06/2026,"MF 75%, Banks 25%"
INE225R08014,30/06/2026,"Insurance 73%, MF 13%, PF/Pension 6.7%, FPI 4%, Corporates 2.7%"
INE229U07178,30/06/2026,"Corporates 63%, Individuals 37%, NRIs 0.2%"
INE229U07186,30/06/2026,"Corporates 43%, Individuals 32%, AIF 17%, Clearing members 7.7%"
INE233A08089,30/06/2026,"MF 86%, PF/Pension 12%, Corporates 1.2%"
INE233A08113,30/06/2026,"MF 73%, Corporates 12%, PF/Pension 5%, FPI 5%, Trusts 3%, Banks 2%"
INE233A08121,30/06/2026,"MF 63%, Corporates 30%, Banks 7%"
INE233A08139,30/06/2026,"MF 58%, Insurance 15%, Banks 12%, FPI 10%, PF/Pension 3%, Corporates 2%"
INE233A08147,30/06/2026,"Insurance 53%, MF 22%, Corporates 14%, PF/Pension 11%"
INE233A08154,30/06/2026,"MF 53%, Banks 29%, Insurance 10%, PF/Pension 5%, Corporates 3%"
INE233A08170,30/06/2026,"MF 90%, Trusts 10%"
INE233A08204,30/06/2026,"MF 94%, Insurance 3%, PF/Pension 2.5%"
INE233A08212,30/06/2026,"MF 94%, Insurance 3%, PF/Pension 2.5%"
INE235P07498,30/06/2026,"Corporates 46%, PF/Pension 38%, MF 15%"
INE238A08450,30/06/2026,"PF/Pension 70%, Trusts 14%, Insurance 12%, MF 3.5%, Corporates 0.3%"
INE238A08468,30/06/2026,"PF/Pension 53%, Insurance 38%, Banks 3.5%, Trusts 2.5%, MF 1.9%, FPI 0.7%, others 0.6%"
INE238A08518,30/06/2026,"PF/Pension 67%, MF 15%, Insurance 13%, Corporates 3%, Banks 1.5%, Trusts 0.5%"
INE242A08437,30/06/2026,"Govt 38%, MF 31%, PF/Pension 15%, Insurance 8.2%, Banks 5.3%, Trusts 1.1%, others 0.8%"
INE242A08502,30/06/2026,"PF/Pension 47%, MF 28%, Banks 11%, Govt 10%, Trusts 1.8%, Corporates 1.7%, others 0.7%"
INE242A08536,30/06/2026,"Govt 64%, PF/Pension 25%, Banks 10%, MF 1%"
INE242A08544,30/06/2026,"Govt 29%, PF/Pension 27%, Banks 26%, MF 15%, Corporates 2.1%, Trusts 0.8%, others 0.4%"
INE242A08551,30/06/2026,"MF 47%, Banks 38%, Corporates 8%, PF/Pension 5.5%, FPI 1%"
INE242A08569,30/06/2026,"PF/Pension 46%, MF 31%, Banks 22%, Trusts 0.8%, Corporates 0.2%"
INE244B07243,30/06/2026,"Corporates 57%, Individuals 42%, NRIs 0.5%, Clearing members 0.1%"
INE244L07598,30/06/2026,Corporates 100%
INE244L08034,30/06/2026,"Corporates 55%, Trusts 42%, Banks 1.5%, Individuals 1.1%"
INE245A08281,30/06/2026,Banks 100%
INE246R07855,30/06/2026,"Insurance 55%, PF/Pension 22%, Trusts 12%, Banks 11%"
INE248U07EW8,30/06/2026,"MF 40%, Corporates 39%, Individuals 11%, FPI 5.5%, AIF 5%, NRIs 0.1%"
INE248U07FU9,30/06/2026,MF 100%
INE248U07FV7,30/06/2026,"Corporates 77%, Individuals 17%, MF 5.6%"
INE248U07FW5,30/06/2026,MF 100%
INE248U07FY1,30/06/2026,MF 100%
INE248U07GA9,30/06/2026,"MF 96%, Corporates 4.4%"
INE248U07GB7,30/06/2026,MF 100%
INE248U07GC5,30/06/2026,"MF 67%, Corporates 33%"
INE248U07GG6,30/06/2026,"MF 91%, Corporates 6.9%, Trusts 1.9%"
INE248U07GI2,30/06/2026,"MF 53%, Corporates 27%, AIF 19%, Clearing members 0.6%, Individuals 0.4%"
INE248U07GJ0,30/06/2026,"MF 96%, Corporates 4.3%"
INE248U07GK8,30/06/2026,Insurance 100%
INE261F07032,30/06/2026,"Individuals 83%, Corporates 15%, NRIs 0.9%, AIF 0.5%, Trusts 0.2%, Clearing members 0.1%, others 0.1%"
INE261F08691,30/06/2026,"PF/Pension 37%, Corporates 16%, Insurance 15%, Trusts 12%, Banks 11%, FPI 5%, others 3%"
INE261F08931,30/06/2026,"Insurance 62%, PF/Pension 19%, Trusts 17%, MF 2.2%"
INE261F08980,30/06/2026,"Govt 44%, Trusts 37%, Insurance 15%, MF 3.7%, PF/Pension 0.3%"
INE261F08AA4,30/06/2026,"Trusts 42%, Insurance 23%, PF/Pension 23%, Govt 5.2%, Corporates 3.7%, MF 1.6%, others 1.3%"
INE261F08AD8,30/06/2026,"Trusts 34%, PF/Pension 29%, Insurance 23%, Govt 7.4%, Corporates 5.4%, MF 1.3%, others 0.1%"
INE261F08AE6,30/06/2026,"PF/Pension 40%, Trusts 25%, Insurance 21%, Govt 5.5%, Corporates 3.5%, MF 2.8%, others 2.1%"
INE261F08AJ5,30/06/2026,"PF/Pension 36%, Trusts 28%, Govt 18%, Insurance 13%, Corporates 3.2%, Banks 0.8%"
INE261F08AV0,30/06/2026,"Corporates 28%, PF/Pension 26%, Trusts 19%, Insurance 16%, Govt 6.5%, Banks 3.3%, others 0.8%"
INE261F08AX6,30/06/2026,"PF/Pension 32%, Insurance 32%, Trusts 12%, Corporates 12%, MF 6.3%, Govt 2.8%, others 2.5%"
INE261F08BC8,30/06/2026,"Insurance 47%, Trusts 30%, PF/Pension 11%, Corporates 7%, Govt 3.6%, MF 1.8%"
INE261F08BE4,30/06/2026,"Insurance 50%, Trusts 21%, Govt 12%, PF/Pension 8.4%, Corporates 5.2%, MF 2.1%, others 0.9%"
INE261F08BF1,30/06/2026,"Insurance 30%, PF/Pension 23%, Corporates 19%, Trusts 19%, Banks 6.1%, Govt 3%, others 0.9%"
INE261F08BH7,30/06/2026,"PF/Pension 36%, Insurance 29%, Trusts 19%, MF 8.5%, Corporates 6.1%, Banks 1%, others 0.5%"
INE261F08BM7,30/06/2026,"Trusts 39%, Insurance 23%, Banks 22%, PF/Pension 8.1%, Govt 4.5%, MF 3.3%, others 0.2%"
INE261F08BV8,30/06/2026,"Govt 80%, PF/Pension 12%, Trusts 7.1%, Insurance 0.8%, MF 0.1%, Corporates 0.1%"
INE261F08BX4,30/06/2026,"PF/Pension 32%, Insurance 22%, Govt 15%, Trusts 11%, Corporates 10%, MF 7.3%, others 2%"
INE261F08CF9,30/06/2026,"MF 42%, Insurance 19%, Banks 16%, PF/Pension 11%, Govt 9.1%, Trusts 2.3%"
INE261F08CH5,30/06/2026,"PF/Pension 40%, Trusts 22%, Insurance 21%, Govt 16%"
INE261F08CJ1,30/06/2026,"MF 70%, PF/Pension 11%, Govt 9.5%, Corporates 5.3%, Insurance 3.2%, Banks 1.4%"
INE261F08CM5,30/06/2026,"Insurance 35%, MF 33%, Banks 15%, PF/Pension 7.5%, Corporates 6.8%, Trusts 2.3%"
INE261F08CN3,30/06/2026,"Insurance 34%, Govt 15%, Corporates 14%, PF/Pension 14%, Trusts 12%, Banks 10%, others 0.3%"
INE261F08CO1,30/06/2026,"Insurance 36%, PF/Pension 23%, Govt 18%, Corporates 9.2%, Trusts 8.4%, Banks 5.2%, others 0.1%"
INE261F08CP8,30/06/2026,"Insurance 34%, PF/Pension 25%, Banks 17%, Trusts 13%, Corporates 8.6%, Govt 2.9%"
INE261F08CQ6,30/06/2026,"Insurance 39%, Corporates 17%, PF/Pension 14%, Banks 12%, Trusts 12%, Govt 3.7%, others 2.5%"
INE261F08CR4,30/06/2026,"Govt 94%, Banks 4.9%, PF/Pension 1%"
INE261F08CZ7,30/06/2026,"Govt 76%, Insurance 13%, Trusts 3.7%, PF/Pension 3.6%, Banks 1.5%, Corporates 1.2%, others 0.1%"
INE261F08DH3,30/06/2026,"PF/Pension 54%, Insurance 25%, Trusts 15%, Govt 6%, MF 0.2%"
INE261F08DV4,30/06/2026,"MF 32%, Trusts 16%, Insurance 15%, Corporates 13%, PF/Pension 12%, Banks 9.1%, others 2.8%"
INE261F08DZ5,30/06/2026,"PF/Pension 31%, Corporates 26%, Insurance 22%, Trusts 18%, Govt 2.3%"
INE261F08EA6,30/06/2026,"MF 34%, Insurance 20%, Corporates 16%, Banks 14%, Govt 8.3%, PF/Pension 5.1%, others 3.1%"
INE261F08EB4,30/06/2026,"Corporates 29%, Insurance 26%, Banks 19%, MF 13%, PF/Pension 5.4%, Trusts 4.3%, others 3.8%"
INE261F08EC2,30/06/2026,"Govt 46%, Corporates 16%, Trusts 11%, PF/Pension 10%, Insurance 9.1%, Banks 5.3%, others 2.5%"
INE261F08ED0,30/06/2026,"Govt 31%, MF 25%, Banks 13%, Insurance 12%, Corporates 7.5%, Trusts 6.6%, others 5.4%"
