isin,as_of,yield,source,holders
INE774D07VH4,2026-06-30,7.67,Kotak,Kotak
INE774D07VH4,2026-07-31,7.81,Kotak,Kotak (25)
INE774D07VH4,2026-08-15,7.74,Kotak,Kotak (25)
INE774D07VI2,2026-06-30,7.665,SBI,SBI; Kotak
INE774D07VI2,2026-07-31,7.8,Kotak,Kotak (126)
INE774D07VI2,2026-08-15,7.73,Kotak,Kotak (126)
INE774D07VJ0,2026-06-30,7.66,ICICI Pru,ICICI Pru; Axis; UTI
INE774D07VJ0,2026-07-15,7.76,ICICI Pru,ICICI Pru
INE774D07VJ0,2026-07-31,7.67,ICICI Pru,ICICI Pru (155); Axis (85); UTI (25)
INE774D07VJ0,2026-08-15,7.46,ICICI Pru,ICICI Pru (155); Axis (85)
INE774D07VK8,2026-06-30,7.65,ICICI Pru,ICICI Pru
INE774D07VK8,2026-07-15,7.76,ICICI Pru,ICICI Pru
INE774D07VK8,2026-07-31,7.67,ICICI Pru,ICICI Pru (301)
INE774D07VK8,2026-08-15,7.46,ICICI Pru,ICICI Pru (301)
INE774D07VM4,2026-06-30,7.67,ICICI Pru,ICICI Pru; Nippon
INE774D07VM4,2026-07-15,7.81,ICICI Pru,ICICI Pru; Nippon
INE774D07VM4,2026-07-31,7.8,ICICI Pru,ICICI Pru (161); Nippon (176); Kotak (50)
INE774D07VM4,2026-08-15,7.73,ICICI Pru,ICICI Pru (161); Nippon (176); Kotak (50)
INE774D07VO0,2026-06-30,7.67,ICICI Pru,ICICI Pru
INE774D07VO0,2026-07-15,7.81,ICICI Pru,ICICI Pru
INE774D07VO0,2026-07-31,7.8,ICICI Pru,ICICI Pru (401)
INE774D07VO0,2026-08-15,7.73,ICICI Pru,ICICI Pru (401)
INE774D07VP7,2026-06-30,8.2019,SBI,SBI; ICICI Pru; Axis; Nippon; Kotak; UTI
INE774D07VP7,2026-07-15,8.3381,SBI,SBI; ICICI Pru; Nippon
INE774D07VP7,2026-07-31,8.3454,SBI,SBI (150); ICICI Pru (601); Axis (100); Nippon (451); Kotak (301); UTI (200)
INE774D07VP7,2026-08-15,8.2704,SBI,SBI (150); ICICI Pru (601); Axis (100); Nippon (451); Kotak (301)
INE774D07VQ5,2026-06-30,7.73,SBI,SBI; Nippon
INE774D07VQ5,2026-07-15,7.92,Nippon,Nippon
INE774D07VQ5,2026-07-31,7.9,SBI,SBI (50); Nippon (100)
INE774D07VQ5,2026-08-15,7.82,SBI,SBI (50)
INE774D14TL6,2026-06-30,7.21,SBI,SBI; Axis
INE774D14TL6,2026-07-15,7.43,SBI,SBI
INE774D14TL6,2026-07-31,7.305,SBI,SBI (24); Aditya Birla (24); Axis (226)
INE774D14TL6,2026-08-15,7.0849,SBI,SBI (24); Axis (227)
INE774D14TO0,2026-06-30,7.2101,Aditya Birla,Aditya Birla; Kotak
INE774D14TO0,2026-07-31,7.305,Aditya Birla,Aditya Birla (24); Kotak (240); Tata (240)
INE774D14TO0,2026-08-15,7.09,Kotak,Kotak (241); Tata (241)
INE774D14TR3,2026-06-30,7.21,Aditya Birla,Aditya Birla
INE774D14TR3,2026-07-31,7.305,Aditya Birla,Aditya Birla (480)
INE774D14TS1,2026-06-30,7.11,ICICI Pru,ICICI Pru
INE774D14TS1,2026-07-15,7.33,ICICI Pru,ICICI Pru
INE774D14TS1,2026-07-31,7.25,ICICI Pru,ICICI Pru (24)
INE774D14TS1,2026-08-15,6.9,ICICI Pru,ICICI Pru (24)
INE774D14TW3,2026-07-31,7.305,Axis,Axis (240); Tata (336)
INE774D14TW3,2026-08-15,7.085,Axis,Axis (434); Tata (337)
INE776C08075,2026-06-30,9.65,SBI,SBI; Aditya Birla; Axis; Nippon
INE776C08075,2026-07-15,10.011,SBI,SBI; Nippon
INE776C08075,2026-07-31,9.961,SBI,SBI (627); Aditya Birla (106); Axis (16); Nippon (21)
INE776C08075,2026-08-15,9.8975,SBI,SBI (629); Axis (16); Nippon (21)
INE776C08083,2026-06-30,9.47,HDFC,HDFC; Aditya Birla; Axis; Nippon
INE776C08083,2026-07-15,9.84,HDFC,HDFC; Nippon
INE776C08083,2026-07-31,9.65,HDFC,HDFC (526); Aditya Birla (226); Axis (58); Nippon (66)
INE776C08083,2026-08-15,9.5125,Axis,Axis (58); Nippon (66)
INE787H07057,2026-06-30,7.5699,Axis,Axis
INE787H07057,2026-07-31,7.5149,Axis,Axis (3)
INE787H07057,2026-08-15,7.545,Axis,Axis (3)
INE787H08212,2026-06-30,7.37,SBI,SBI
INE787H08212,2026-07-15,7.3868,SBI,SBI
INE787H08212,2026-07-31,7.2622,SBI,SBI (149)
INE787H08212,2026-08-15,7.1482,SBI,SBI (149)
INE787H08220,2026-07-15,7.3768,SBI,SBI
INE787H08220,2026-07-31,7.2444,SBI,SBI (25)
INE787H08220,2026-08-15,7.1932,SBI,SBI (25)
INE790I14HF8,2026-06-30,6.97,HDFC,HDFC
INE790I14HG6,2026-06-30,7.5175,Aditya Birla,Aditya Birla
INE790I14HG6,2026-07-31,7.4301,Aditya Birla,Aditya Birla (72)
INE790I14HI2,2026-06-30,7.52,HDFC,HDFC
INE790I14HI2,2026-07-15,7.75,HDFC,HDFC
INE790I14HI2,2026-07-31,7.43,HDFC,HDFC (48)
INE790I14HJ0,2026-07-31,7.43,Tata,Tata (145)
INE790I14HJ0,2026-08-15,7.19,Tata,Tata (145)
INE790I14HK8,2026-07-31,7.43,Tata,Tata (121)
INE790I14HK8,2026-08-15,7.19,Tata,Tata (121)
INE790I14HN2,2026-06-30,6.97,HDFC,HDFC
INE790I14HN2,2026-07-15,7.1,HDFC,HDFC
INE790I14HO0,2026-06-30,6.97,HDFC,HDFC
INE790I14HQ5,2026-06-30,6.9653,Nippon,Nippon
INE790I14HQ5,2026-07-15,6.5894,Nippon,Nippon
INE790I14HV5,2026-06-30,6.97,ICICI Pru,ICICI Pru; UTI
INE790I14HV5,2026-07-15,7.05,ICICI Pru,ICICI Pru
INE790I14HV5,2026-07-31,6.69,ICICI Pru,ICICI Pru (149); UTI (100)
INE790I14HV5,2026-08-15,6.48,ICICI Pru,ICICI Pru (150)
INE790I14HW3,2026-06-30,6.9651,Aditya Birla,Aditya Birla
INE790I14HW3,2026-07-31,6.8354,Aditya Birla,Aditya Birla (75)
INE790I14IA7,2026-06-30,6.965,Nippon,Nippon
INE790I14IA7,2026-07-15,7.1001,Nippon,Nippon
INE790I14IA7,2026-07-31,6.8353,Nippon,Nippon (149)
INE790I14IA7,2026-08-15,6.6852,Nippon,Nippon (149)
INE790Z07061,2026-06-30,7.6067,SBI,SBI
INE790Z07061,2026-07-15,7.8519,SBI,SBI
INE790Z07061,2026-07-31,7.8467,SBI,SBI (339)
INE790Z07061,2026-08-15,7.7435,SBI,SBI (340)
INE790Z14059,2026-06-30,6.855,SBI,SBI
INE790Z14059,2026-07-15,7.06,SBI,SBI
INE790Z14059,2026-07-31,6.9549,SBI,"SBI (1,491)"
INE790Z14059,2026-08-15,6.7706,SBI,"SBI (1,495)"
INE800X07071,2026-07-31,8.3,UTI,UTI (50)
INE800X07097,2026-06-30,8.23,Aditya Birla,Aditya Birla
INE800X07097,2026-07-31,8.355,Aditya Birla,Aditya Birla (150)
INE800X07105,2026-06-30,8.0899,Aditya Birla,Aditya Birla
INE800X07105,2026-07-31,8.1848,Aditya Birla,Aditya Birla (100)
INE800X14390,2026-06-30,6.8302,Nippon,Nippon
INE800X14390,2026-07-15,6.7898,Nippon,Nippon
INE800X14390,2026-07-31,6.7147,Nippon,Nippon (50)
INE800X14390,2026-08-15,6.601,Nippon,Nippon (50)
INE800X14424,2026-06-30,6.99,Aditya Birla,Aditya Birla
INE800X14424,2026-07-31,7.0949,Aditya Birla,Aditya Birla (49)
INE800X14465,2026-06-30,7.1225,Aditya Birla,Aditya Birla
INE800X14465,2026-07-31,7.2,Aditya Birla,Aditya Birla (48)
INE800X14473,2026-06-30,6.7599,Aditya Birla,Aditya Birla
INE800X14481,2026-06-30,6.7596,Aditya Birla,Aditya Birla
INE802J07035,2026-06-30,8.1295,Axis,Axis
INE802J07035,2026-07-31,8.1798,Axis,Axis (77)
INE802J07035,2026-08-15,8.1746,Axis,Axis (77)
INE812V07013,2026-06-30,7.23,Kotak,Kotak
INE812V07013,2026-07-31,7.06,Kotak,Kotak (10)
INE812V07013,2026-08-15,6.64,Kotak,Kotak (10)
INE813H07150,2026-08-15,7.28,Axis,Axis (35)
INE813H07192,2026-06-30,7.6249,Aditya Birla,Aditya Birla; UTI
INE813H07192,2026-07-31,7.58,Aditya Birla,Aditya Birla (50); UTI (50)
INE813H07226,2026-06-30,7.78,Aditya Birla,Aditya Birla
INE813H07226,2026-07-31,7.7,Aditya Birla,Aditya Birla (35)
INE813H07234,2026-06-30,7.765,SBI,SBI
INE813H07234,2026-07-15,7.835,SBI,SBI
INE813H07234,2026-07-31,7.8199,SBI,SBI (50)
INE813H07234,2026-08-15,7.7,SBI,SBI (51)
INE813H07242,2026-06-30,7.845,SBI,SBI
INE813H07242,2026-07-15,7.825,SBI,SBI
INE813H07242,2026-07-31,7.905,SBI,SBI (44)
INE813H07242,2026-08-15,7.865,SBI,SBI (44)
INE813H07283,2026-06-30,7.845,SBI,SBI
INE813H07283,2026-07-15,7.825,SBI,SBI
INE813H07283,2026-07-31,7.905,SBI,SBI (102)
INE813H07283,2026-08-15,7.865,SBI,SBI (102)
INE813H07309,2026-06-30,7.83,SBI,SBI
INE813H07309,2026-07-15,7.8499,SBI,SBI
INE813H07309,2026-07-31,7.905,SBI,SBI (10)
INE813H07309,2026-08-15,7.88,SBI,SBI (10)
INE813H07333,2026-06-30,7.78,ICICI Pru,ICICI Pru
INE813H07333,2026-07-15,7.84,ICICI Pru,ICICI Pru
INE813H07333,2026-07-31,7.82,ICICI Pru,ICICI Pru (141)
INE813H07333,2026-08-15,7.69,ICICI Pru,ICICI Pru (141)
INE813H07341,2026-06-30,7.6249,SBI,SBI; Aditya Birla
INE813H07341,2026-07-15,7.81,HDFC,HDFC
INE813H07341,2026-07-31,7.58,HDFC,HDFC (75); Aditya Birla (25)
INE813H07366,2026-06-30,7.78,ICICI Pru,ICICI Pru
INE813H07366,2026-07-15,7.82,ICICI Pru,ICICI Pru
INE813H07366,2026-07-31,7.85,ICICI Pru,ICICI Pru (126)
INE813H07366,2026-08-15,7.75,ICICI Pru,ICICI Pru (126)
INE813H07374,2026-06-30,7.78,ICICI Pru,ICICI Pru; Axis
INE813H07374,2026-07-15,7.84,ICICI Pru,ICICI Pru
INE813H07374,2026-07-31,7.82,ICICI Pru,ICICI Pru (50); Axis (5)
INE813H07374,2026-08-15,7.69,ICICI Pru,ICICI Pru (50); Axis (5)
INE813H07382,2026-06-30,7.6249,SBI,SBI; Axis
INE813H07382,2026-07-15,7.81,SBI,SBI
INE813H07382,2026-07-31,7.5801,SBI,SBI (31); Axis (19)
INE813H07382,2026-08-15,7.28,SBI,SBI (31); Axis (19)
INE813H07432,2026-06-30,7.78,HDFC,HDFC; ICICI Pru
INE813H07432,2026-07-15,7.82,HDFC,HDFC; ICICI Pru
INE813H07432,2026-07-31,7.85,HDFC,HDFC (307); ICICI Pru (50)
INE813H07432,2026-08-15,7.75,ICICI Pru,ICICI Pru (50)
INE813H07440,2026-06-30,7.85,HDFC,HDFC; SBI
INE813H07440,2026-07-15,7.83,HDFC,HDFC; SBI; Nippon
INE813H07440,2026-07-31,7.91,HDFC,HDFC (25); SBI (555); Nippon (20)
INE813H07440,2026-08-15,7.865,SBI,SBI (556); Nippon (20)
INE814H07190,2026-06-30,8.22,SBI,SBI; ICICI Pru; Aditya Birla; Axis; Nippon
INE814H07190,2026-07-15,8.6999,SBI,SBI; ICICI Pru; Nippon
INE814H07190,2026-07-31,8.6,SBI,SBI (941); ICICI Pru (448); Aditya Birla (126); Axis (60); Nippon (199); Tata (214)
INE814H07190,2026-08-15,8.415,SBI,SBI (943); ICICI Pru (449); Axis (60); Nippon (200); Tata (215)
INE814H07208,2026-06-30,8.225,Aditya Birla,Aditya Birla; Axis; Nippon; Kotak; UTI
INE814H07208,2026-07-15,8.6798,Nippon,Nippon
INE814H07208,2026-07-31,8.635,Aditya Birla,Aditya Birla (149); Axis (10); Nippon (55); Kotak (598); UTI (25); Tata (5)
INE814H07208,2026-08-15,8.475,Axis,Axis (10); Nippon (55); Kotak (600); Tata (5)
INE824H14SY5,2026-07-31,7.59,Tata,Tata (244)
INE824H14SY5,2026-08-15,7.15,Tata,Tata (245)
INE824H14TG0,2026-06-30,7.63,HDFC,HDFC
INE824H14TG0,2026-07-15,7.86,HDFC,HDFC
INE824H14TG0,2026-07-31,7.77,HDFC,HDFC (97)
INE824H14TH8,2026-06-30,7.63,HDFC,HDFC
INE824H14TH8,2026-07-15,7.86,HDFC,HDFC
INE824H14TH8,2026-07-31,7.77,HDFC,HDFC (97)
INE824H14TJ4,2026-06-30,7.63,ICICI Pru,ICICI Pru
INE824H14TJ4,2026-07-15,7.86,ICICI Pru,ICICI Pru
INE824H14TJ4,2026-07-31,7.77,ICICI Pru,ICICI Pru (338)
INE824H14TJ4,2026-08-15,7.62,ICICI Pru,ICICI Pru (339)
INE824H14TK2,2026-07-31,7.77,Tata,Tata (193)
INE824H14TK2,2026-08-15,7.62,Tata,Tata (193)
INE824H14TZ0,2026-06-30,7.63,ICICI Pru,ICICI Pru
INE824H14TZ0,2026-07-15,7.86,ICICI Pru,ICICI Pru
INE824H14TZ0,2026-07-31,7.77,ICICI Pru,ICICI Pru (48)
INE824H14TZ0,2026-08-15,7.62,ICICI Pru,ICICI Pru (48)
INE824H14UB9,2026-06-30,7.05,HDFC,HDFC; ICICI Pru
INE824H14UB9,2026-07-15,6.88,HDFC,HDFC; ICICI Pru
INE824H14UD5,2026-06-30,6.9497,Axis,Axis; Kotak
INE824H14UD5,2026-07-31,6.8401,Axis,Axis (150); Kotak (150)
INE824H14UE3,2026-06-30,6.95,ICICI Pru,ICICI Pru
INE824H14UE3,2026-07-15,7.13,ICICI Pru,ICICI Pru
INE824H14UE3,2026-07-31,6.84,ICICI Pru,ICICI Pru (150)
INE824H14UF0,2026-06-30,6.95,Aditya Birla,Aditya Birla
INE824H14UF0,2026-07-31,6.8407,Aditya Birla,Aditya Birla (249)
INE824H14UG8,2026-06-30,6.95,ICICI Pru,ICICI Pru
INE824H14UG8,2026-07-15,7.15,ICICI Pru,ICICI Pru
INE824H14UG8,2026-07-31,6.84,ICICI Pru,ICICI Pru (149)
INE824H14UG8,2026-08-15,6.62,ICICI Pru,ICICI Pru (150)
INE824H14UJ2,2026-06-30,6.95,HDFC,HDFC
INE824H14UJ2,2026-07-15,7.15,HDFC,HDFC
INE824H14UJ2,2026-07-31,6.94,HDFC,HDFC (199)
INE824H14UK0,2026-06-30,6.95,ICICI Pru,ICICI Pru
INE824H14UK0,2026-07-15,7.15,ICICI Pru,ICICI Pru
INE824H14UK0,2026-07-31,6.99,ICICI Pru,ICICI Pru (99)
INE824H14UK0,2026-08-15,6.64,ICICI Pru,ICICI Pru (100)
INE824H14UL8,2026-06-30,6.95,Kotak,Kotak
INE824H14UL8,2026-07-31,7.12,Kotak,Kotak (199)
INE824H14UL8,2026-08-15,6.79,Kotak,Kotak (199)
INE824H14UM6,2026-06-30,6.9501,Aditya Birla,Aditya Birla
INE824H14UM6,2026-07-31,7.115,Aditya Birla,Aditya Birla (99)
INE824H14UN4,2026-06-30,6.95,Kotak,Kotak
INE824H14UN4,2026-07-31,7.12,Kotak,Kotak (248)
INE824H14UN4,2026-08-15,6.79,Kotak,Kotak (249)
INE824H14UO2,2026-06-30,6.95,ICICI Pru,ICICI Pru
INE824H14UO2,2026-07-15,7.2,ICICI Pru,ICICI Pru
INE824H14UO2,2026-07-31,7.12,ICICI Pru,ICICI Pru (99)
INE824H14UO2,2026-08-15,6.79,ICICI Pru,ICICI Pru (100)
INE824H14UP9,2026-06-30,6.9499,Aditya Birla,Aditya Birla
INE824H14UP9,2026-07-31,7.165,Aditya Birla,Aditya Birla (198)
INE824H14UT1,2026-07-31,7.55,ICICI Pru,ICICI Pru (246)
INE824H14UT1,2026-08-15,6.93,ICICI Pru,ICICI Pru (247)
INE824H14UU9,2026-07-31,7.55,HDFC,HDFC (246)
INE824H14UV7,2026-08-15,6.9699,SBI,SBI (246)
INE824H14UX3,2026-08-15,7.62,ICICI Pru,ICICI Pru (240)
INE824H14UY1,2026-08-15,6.97,ICICI Pru,ICICI Pru (246)
INE831R07318,2026-06-30,7.265,Nippon,Nippon
INE831R07318,2026-07-15,7.535,Nippon,Nippon
INE831R07318,2026-07-31,7.355,Axis,Axis (50); Nippon (124)
INE831R07318,2026-08-15,7.125,Axis,Axis (50); Nippon (125)
INE831R07391,2026-07-31,7.38,SBI,SBI (25); Axis (50)
INE831R07391,2026-08-15,7.125,SBI,SBI (25); Axis (50)
INE831R07425,2026-06-30,7.32,ICICI Pru,ICICI Pru; Nippon; UTI
INE831R07425,2026-07-15,7.56,ICICI Pru,ICICI Pru; Nippon
INE831R07425,2026-07-31,7.38,ICICI Pru,ICICI Pru (50); Nippon (68); Kotak (50); UTI (25)
INE831R07425,2026-08-15,7.13,ICICI Pru,ICICI Pru (50); Nippon (68); Kotak (50)
INE831R07458,2026-06-30,7.78,Nippon,Nippon
INE831R07458,2026-07-15,7.8061,Nippon,Nippon
INE831R07458,2026-07-31,7.7662,Nippon,Nippon (45)
INE831R07458,2026-08-15,7.82,Nippon,Nippon (45)
INE831R07466,2026-06-30,7.57,Kotak,Kotak
INE831R07466,2026-07-31,7.62,Kotak,Kotak (45)
INE831R07466,2026-08-15,7.59,Kotak,Kotak (45)
INE831R07474,2026-06-30,7.0549,Aditya Birla,Aditya Birla; Kotak
INE831R07474,2026-07-15,7.415,Nippon,Nippon
INE831R07474,2026-07-31,7.245,Aditya Birla,Aditya Birla (75); Nippon (50); Kotak (150)
INE831R07474,2026-08-15,6.92,Nippon,Nippon (50); Kotak (150)
INE831R07482,2026-06-30,7.58,Aditya Birla,Aditya Birla
INE831R07482,2026-07-31,7.6325,Aditya Birla,Aditya Birla (100)
INE831R07516,2026-06-30,7.6845,Nippon,Nippon; UTI
INE831R07516,2026-07-15,7.765,Nippon,Nippon
INE831R07516,2026-07-31,7.6725,Nippon,Nippon (30); UTI (50)
INE831R07516,2026-08-15,7.685,Nippon,Nippon (30)
INE831R07540,2026-06-30,7.6895,SBI,SBI; UTI
INE831R07540,2026-07-15,7.79,SBI,SBI
INE831R07540,2026-07-31,7.6888,SBI,SBI (301); UTI (50)
INE831R07540,2026-08-15,7.685,SBI,SBI (301)
INE831R07557,2026-06-30,7.5649,Aditya Birla,Aditya Birla; Nippon
INE831R07557,2026-07-31,7.5725,Aditya Birla,Aditya Birla (341); UTI (75)
INE831R07565,2026-06-30,7.6994,Nippon,Nippon
INE831R07565,2026-07-15,7.7984,Nippon,Nippon
INE831R07565,2026-07-31,7.6988,Nippon,Nippon (50)
INE831R07565,2026-08-15,7.7,Nippon,Nippon (50)
INE831R07573,2026-06-30,7.6994,SBI,SBI; Nippon
INE831R07573,2026-07-15,7.7984,SBI,SBI; Nippon
INE831R07573,2026-07-31,7.6987,SBI,SBI (301); Nippon (291)
INE831R07573,2026-08-15,7.7,SBI,SBI (301); Nippon (291)
INE831R07581,2026-06-30,7.6895,Aditya Birla,Aditya Birla
INE831R07581,2026-07-31,7.6888,Aditya Birla,Aditya Birla (348)
INE831R07607,2026-06-30,7.565,SBI,SBI; Nippon
INE831R07607,2026-07-15,7.73,SBI,SBI; Nippon
INE831R07607,2026-07-31,7.5575,SBI,SBI (30); Nippon (5)
INE831R07607,2026-08-15,7.4224,SBI,SBI (30); Nippon (5)
INE831R07631,2026-06-30,7.78,UTI,UTI
INE831R07631,2026-07-31,7.77,UTI,UTI (75)
INE831R07656,2026-06-30,7.78,SBI,SBI
INE831R07656,2026-07-15,7.8061,SBI,SBI
INE831R07656,2026-07-31,7.7662,SBI,SBI (202); Aditya Birla (25)
INE831R07656,2026-08-15,7.82,SBI,SBI (202)
INE831R14FW0,2026-06-30,7.05,Kotak,Kotak
INE831R14FW0,2026-07-31,7.15,Kotak,Kotak (144)
INE831R14FW0,2026-08-15,6.93,Kotak,Kotak (145)
INE831R14FX8,2026-06-30,7.05,ICICI Pru,ICICI Pru
INE831R14FX8,2026-07-15,7.31,ICICI Pru,ICICI Pru
INE831R14FX8,2026-07-31,7.15,ICICI Pru,ICICI Pru (288)
INE831R14FX8,2026-08-15,6.93,ICICI Pru,ICICI Pru (290)
INE831R14FY6,2026-06-30,7.05,ICICI Pru,ICICI Pru; Nippon
INE831R14FY6,2026-07-15,7.31,ICICI Pru,ICICI Pru; Nippon
INE831R14FY6,2026-07-31,7.15,ICICI Pru,ICICI Pru (144); Nippon (48)
INE831R14FY6,2026-08-15,6.93,ICICI Pru,ICICI Pru (145); Nippon (48)
INE831R14FZ3,2026-06-30,7.05,ICICI Pru,ICICI Pru
INE831R14FZ3,2026-07-15,7.31,ICICI Pru,ICICI Pru
INE831R14FZ3,2026-07-31,7.15,ICICI Pru,ICICI Pru (240)
INE831R14FZ3,2026-08-15,6.93,ICICI Pru,ICICI Pru (241)
INE831R14GA4,2026-06-30,7.05,HDFC,HDFC; ICICI Pru; Aditya Birla
INE831R14GA4,2026-07-15,7.32,HDFC,HDFC; ICICI Pru
INE831R14GA4,2026-07-31,7.15,HDFC,HDFC (240); ICICI Pru (96); Aditya Birla (240)
INE831R14GA4,2026-08-15,6.93,ICICI Pru,ICICI Pru (96)
INE831R14GB2,2026-06-30,6.4799,SBI,SBI
INE831R14GB2,2026-07-15,6.4049,SBI,SBI
INE831R14GB2,2026-07-31,6.1298,SBI,SBI (300)
INE831R14GC0,2026-06-30,6.4797,SBI,SBI
INE831R14GC0,2026-07-15,6.4053,SBI,SBI
INE831R14GC0,2026-07-31,6.365,SBI,SBI (349)
INE831R14GF3,2026-06-30,6.39,HDFC,HDFC
INE831R14GF3,2026-07-15,6.59,HDFC,HDFC
INE831R14GF3,2026-07-31,6.56,HDFC,HDFC (495)
INE831R14GG1,2026-07-31,6.89,ICICI Pru,ICICI Pru (296)
INE831R14GG1,2026-08-15,6.43,ICICI Pru,ICICI Pru (297)
INE831R14GI7,2026-07-31,6.875,Nippon,Nippon (197)
INE831R14GI7,2026-08-15,6.4248,Nippon,Nippon (198)
INE831R14GK3,2026-08-15,6.52,Tata,Tata (296)
INE831R14GL1,2026-08-15,6.52,ICICI Pru,ICICI Pru (49)
INE831R14GM9,2026-08-15,6.52,SBI,SBI (493)
INE835F14161,2026-06-30,7.6777,Aditya Birla,Aditya Birla
INE835F14161,2026-07-31,7.4997,Aditya Birla,Aditya Birla (40)
INE835F14179,2026-06-30,7.6775,Aditya Birla,Aditya Birla
INE835F14179,2026-07-31,7.7501,Aditya Birla,Aditya Birla (50)
INE835F14187,2026-07-31,7.7497,Aditya Birla,Aditya Birla (25)
INE842C14214,2026-07-31,6.9502,Nippon,Nippon (99)
INE842C14214,2026-08-15,6.7647,Nippon,Nippon (100)
INE842C14222,2026-07-15,7.1002,Nippon,Nippon
INE848E07385,2026-06-30,6.87,Nippon,Nippon
INE848E07385,2026-07-15,7.15,Nippon,Nippon
INE848E07385,2026-07-31,7.01,Nippon,Nippon (5)
INE848E07385,2026-08-15,6.7549,Nippon,Nippon (5)
INE848E07864,2026-06-30,6.2007,SBI,SBI
INE848E07872,2026-06-30,7.06,HDFC,HDFC
INE848E07872,2026-07-15,7.27,HDFC,HDFC
INE848E07872,2026-07-31,7.23,HDFC,HDFC (45)
INE848E07AC9,2026-06-30,7.08,ICICI Pru,ICICI Pru
INE848E07AC9,2026-07-15,7.28,ICICI Pru,ICICI Pru
INE848E07AC9,2026-07-31,7.12,ICICI Pru,ICICI Pru (25)
INE848E07AC9,2026-08-15,6.93,ICICI Pru,ICICI Pru (25)
INE848E07AL0,2026-06-30,6.3748,Nippon,Nippon
INE848E07AL0,2026-07-15,6.5202,Nippon,Nippon
INE848E07AL0,2026-07-31,6.3897,SBI,SBI (5); Nippon (10)
INE848E07AL0,2026-08-15,6.2102,SBI,SBI (5); Nippon (10)
INE848E07AN6,2026-06-30,7.07,HDFC,HDFC
INE848E07AP1,2026-06-30,6.7851,Nippon,Nippon
INE848E07AP1,2026-07-15,6.875,Nippon,Nippon
INE848E07AP1,2026-07-31,7.0,Nippon,Nippon (25)
INE848E07AP1,2026-08-15,6.5751,Nippon,Nippon (25)
INE848E07AQ9,2026-06-30,7.05,SBI,SBI; Axis
INE848E07AQ9,2026-07-15,7.24,SBI,SBI
INE848E07AQ9,2026-07-31,7.185,SBI,SBI (25); Axis (5)
INE848E07AQ9,2026-08-15,7.07,SBI,SBI (25); Axis (5)
INE848E07AR7,2026-06-30,6.955,Nippon,Nippon
INE848E07AR7,2026-07-15,7.24,Nippon,Nippon
INE848E07AR7,2026-07-31,7.2,Nippon,Nippon (20)
INE848E07AR7,2026-08-15,7.105,Nippon,Nippon (20)
INE848E07AS5,2026-06-30,7.0899,Axis,Axis
INE848E07AS5,2026-07-31,7.2012,Axis,Axis (5)
INE848E07AS5,2026-08-15,7.13,Axis,Axis (5)
INE848E07AU1,2026-06-30,6.8699,Nippon,Nippon
INE848E07AU1,2026-07-15,7.15,Nippon,Nippon
INE848E07AU1,2026-07-31,7.01,Nippon,Nippon (33)
INE848E07AU1,2026-08-15,6.755,Nippon,Nippon (33)
INE848E07AV9,2026-06-30,6.965,SBI,SBI
INE848E07AV9,2026-07-15,7.2443,SBI,SBI
INE848E07AV9,2026-07-31,7.185,SBI,SBI (43)
INE848E07AV9,2026-08-15,7.07,SBI,SBI (43)
INE848E07AW7,2026-06-30,7.065,SBI,SBI
INE848E07AW7,2026-07-15,7.31,SBI,SBI
INE848E07AW7,2026-07-31,7.2012,SBI,SBI (2)
INE848E07AW7,2026-08-15,7.115,SBI,SBI (2)
INE848E07BA1,2026-06-30,6.97,UTI,UTI
INE848E07BA1,2026-07-31,7.19,UTI,UTI (15)
INE848E07BK0,2026-06-30,7.05,Nippon,Nippon
INE848E07BK0,2026-07-15,7.2799,Nippon,Nippon
INE848E07BK0,2026-07-31,7.115,Nippon,Nippon (5)
INE848E07BK0,2026-08-15,6.925,Nippon,Nippon (5)
INE848E08136,2026-06-30,7.04,Axis,Axis; Nippon
INE848E08136,2026-07-15,7.285,Nippon,Nippon
INE848E08136,2026-07-31,7.1763,Axis,Axis (15); Nippon (0)
INE848E08136,2026-08-15,7.09,Axis,Axis (15); Nippon (0)
INE848E08193,2026-06-30,7.25,HDFC,HDFC
INE848E08219,2026-06-30,7.18,HDFC,HDFC
INE848E08227,2026-06-30,7.13,HDFC,HDFC
INE848E08235,2026-06-30,7.07,HDFC,HDFC
INE848E08243,2026-06-30,6.97,HDFC,HDFC
INE848E08250,2026-06-30,6.87,HDFC,HDFC
INE848E08375,2026-06-30,7.06,HDFC,HDFC; Aditya Birla
INE848E08375,2026-07-15,7.23,HDFC,HDFC
INE848E08375,2026-07-31,7.19,HDFC,HDFC (25); Aditya Birla (149)
INE849D14IB0,2026-07-31,6.89,HDFC,HDFC (495)
INE852O07139,2026-06-30,7.96,ICICI Pru,ICICI Pru
INE852O07139,2026-07-15,8.0,ICICI Pru,ICICI Pru
INE852O07139,2026-07-31,8.0,ICICI Pru,ICICI Pru (180)
INE852O07139,2026-08-15,7.76,ICICI Pru,ICICI Pru (180)
INE852O07147,2026-06-30,8.22,ICICI Pru,ICICI Pru
INE852O07147,2026-07-15,8.42,ICICI Pru,ICICI Pru
INE852O07147,2026-07-31,8.26,ICICI Pru,ICICI Pru (201)
INE852O07147,2026-08-15,7.94,ICICI Pru,ICICI Pru (201)
INE852O07154,2026-06-30,8.4001,Axis,Axis
